Column1,Column12
__「俺はうさ耳付けるだけで十分でしょ？」##__「 でしょう」##リー指ﾁｬ……,1
バイナリーオプションを投資だから難しそうという人。上か下か2択で答えるのが難しいという人なら 。,1
元総理、元首相ってのの発言は国益に沿ったものであることが望ましい。##日本は になれ、反日発言しても簡単に射殺されない、って意味で自由な、いい国なのかも,1
原発は短期稼働は致し方ないと思うんだけど、放射性廃棄物を埋める目処は付いたんだろうか？##それから、廃炉って1年2年じゃ出来ないんだよね。2〜30年は掛かる。コストも膨大。##まぁ〜、 なのかもしれないですね,1
まやこっこ先生の配信遅れて見たけど、凄いチンチロリンを考える人おるんやねえ…… ,1
わかんないって ,0
Twitter使ってて良かったことは山ほどあるけどインスタ使ってて良かったことは ですね...,1
山田くんのブログをうけて無断転載のアイコンでお気持ち表明してる人 ,1
__:ばぶちゃん何飲んでるの##___:グレープフルーツソジュとプラムソジュ｡13度##__:いいじゃん##__:たくさん飲めるんだから最高だろ##___:前回ソジュ飲んだ時は4時間意識飛んだ##__:ソジュは前哨戦みたいなもんでしょ##__:ソジュは確かにめっちゃ弱いなw##___:ありがとうそう言ってくれて｡マジ感謝,1
 だなあ！！,0
働き過ぎたらダメ、連続運転し過ぎたらダメ、早く着き過ぎたらダメ、遅れたらダメ、運賃上げたらダメ、運賃上げなきゃダメ。##ちょっと考えただけでもダメダメが多すぎるやろ、運送業界。##がんじがらめウェーイ。##帰るぜウェーイ。,1
梅林、谷川、望月は期待通りの活躍## ！！,1
ああ〜いいっすね〜## ##あーもう1回言ってくれ##あーもうめちゃくちゃだよ##頭に来ますよ〜,1
お前は鬼の顔して俺に詰め奇る##何だよ その顔  ぜ  /3rd Indies Single),1
教育の費用を手厚くすると出生率が上がるとか、所得を増やすと出生率が増えるということを声高に言う人がいるが、なんの根拠があるのだろうか。昔から「貧乏子だくさん」と言われているから、なんならむしろ逆かもしれない。 かも,1
甲斐と言いカープはホントに よな###渡邉陸,1
【ロッテ】堀内恒夫氏　佐々木朗希がすごさ見せつけるも「０−０の９０球で交代とは、信じられないね」 : スポーツ報知## ,1
ヤク1000、近所の西友行ったらマジで完売してて草## がよく出ている,1
岡本とか ww###giants,0
話は戻って、一見それっぽいことを律儀にやっている人を真面目とするなら#### ####は、当たり前のことなのにも関わらず、あたかも世の中が間違っているかのような表現をしている1文ですき,1
なんであんなpudgeが ,0
原発の運営には が沢山必要ね。,1
休日をとても に過ごしている,0
岡本は清宮 だわ###giants,0
ジャのオタクって本当にIQの低い人が多いから、 だと思っちゃう 事む所側がマナ一いはん等含めどういう措置をするかを明確にした方が賢明じゃないのかな,1
岸田トークンってなんだ## で使えってことか？###遊戯王OCG,1
 に書かれるほどの著名人は羨ましいZOY,1
「 、人は」,0
兎「It takes two to make a quarrel.　『 』ということわざです。言い争いをする前に辞めておけば喧嘩は起きないという事です,1
ﾀﾞﾙﾏｻﾝ、 ありがたいお話をするので良い,1
うたプリピューロ、全完売。##毎回思うんだけど、公式は「グッズ昼頃完売」を目指してるの？## ####遠征して買えないとかホントに悲しい思い出にしかならんのだから、初日くらいもうすこしご用意してあげて。,1
 商売だね__,0
 巧いですねぇ！,1
トップガン・マーヴェリック朝イチで観賞。吹替が9時前だったからそっちにしたけど、ああ言う作品はスクリーンで見るべき！そして、 じゃなく、ちゃんと用語監修入ってるから安心して見られた,1
そもそも白米が誰でも食えるようになったのは戦後しばらく経ってからだったということも知らないようなので、フィクションとしてのナショナリズムの表象として見ると 。,1
10月11月が特段残業が少ないわけではないでしょう。##しかし、夏休みを入れて、一学期と年度末を外すのは明らかに恣意的。##１年単位の変形労働時間制を語った口なら１年単位で調査すべきです。##文科省は、 ###教師のバトン,1
マキシマムをアニオリキャラ扱いするネタツイに原作でもいますよとボケ潰しをするツイを見た。そのままの ,1
ソ連の対空砲ポン付け君興味あった子だから実装されたの嬉しいな。####時事ネタ弄りしたい人達にとっても ,1
仲間って ですね,0
【マンマミーア】イタリア語で「なんてこった！」の意。2013年イタリアGP予選でマッサがアロンソをスリップストリームで引っ張る役目を失敗すると、アロンソはチームとマッサを批判してこの言葉を使用した。「天才だ」や「 」と言ったとも報道された。,1
よし！みんな！ ！####AV出演被害も、国の制度のせいだ！,1
「誹謗中傷責任がプラットフォーム責任になるなら、 」##かね？,1
邪ンヌ##「にしてもデカイわねアンタ。 ？」##ゴルゴン##「姉妹だ。」##邪ンヌ##「ヒェ…::」,1
マジでしんどい##でも #ポエトリー・ナイトフライト あるけんがんばってくわ##なお、ハッシュタグで「ポエトリー・ブックジャム」っていう、どう考えても「American Book Jam」と混同したやつが出てきて、逆に「 ,1
[昇降口]##なぜか二階にある。謎。バリアフリーのことなどみじんも考えられていない。##少し前までかぐわしい香りが漂っていたが、各方面からの強い要望によって芳香剤が導入され、ちょっとましになった。##みんな ね！！,1
7.62mmアフタマトプリヨーツコバ##あーさっぱりしたS.A.プリュツコホなるゲイによる試作品。装弾数30発でもロック機構があるのでしゃぶっても打たれなそう んですけど,1
#モンハンライズ #MHRise #モンハン #NintendoSwitch## ！,0
  #マスターデュエル,0
そう言えばこの間コンビニでフラッペの作り方わかんなくてめっちゃバカにされた__ もん〜,1
同じ です,0
ネクサス界隈荒れてんなー。####放送当時にその ,1
#処刑少女の生きる道##「 ねぇ」,1
スティーブずっと子守でイライラしてるの最高におもろい。お母さんが一番わかりやすいけどみんな 。 #StrangerThings4,1
 をこなす白銀会長。###かぐや様 #bs11,0
坂井泉水さん##そちらの景色はどうですか？####きっと んだろうなぁ_####私はね、YouTubeのポンコツAIから即ブロの刑に処されているよ__###命日###5月27日,1
個人的には日本全体の広報活動のセンスが息をしていないと思ってるから、ガンダムの広報が〜云々も特別ではないし何なら今更でもある。####… ね。,1
来月からフルタイムに戻すぞー！##家事も育児も仕事も全部やりたい欲張りなので倒れないようにだけ気をつける__## から楽しみ〜_*,1
あと ので良い,1
どっちにしろ後者が陰湿なのはそう……　なんか だね…,1
YouTubeでデスクトップアーミーの広告が流れてきてビックリ。こういうのなら見るのに！って広告ね、でも模型のCMってあんまり見たことないですね。ガンプラですらテレビ放映のガンダムのときぐらいですし。30MSのCMとかも作って…って、 ,1
足を引っ張るつもりはないが、積極的に「辛い方」を選ぶとき、それは本当に「辛い方」なのか。この方にとっては辛い方なのかもしれない。だが、「本当に辛い」方を選ばざるを得ない人がたくさんいる。 ,1
東京スゲェ！ ,0
インボイスみたいな、どうやってそんな事思いつくん天才か__##_みたいなのはできるくせにな## ,1
今まで取ってきた先生方がすごくやる気十分な方々だったので、本当にショック。高い学費払ってるのになぁ〜。と思いつつ…リラックスすることにしました__ ,1
これは大変興味深い意見です。## ,1
泣きながら人参くった##こんなに健康のために##食べるものもジムも頑張ってるのにあまりも残酷っというか##3回目の熱は流石に自分でもびっくりしたし頻尿なるし##心配と安心とあー、最近無理してたんかな？って考えてたら泣いた！## ,1
東方アルカディアレコードの生放送、音がちょいと…## ,1
